fecha,id_producto,nombre_producto,cantidad,precio_unit,total_venta
2023-08-01,7772905007387,Chicolac 140ml ,6.0,1.0,6.0
2023-08-01,7772919130101,Chicotron ILVA 100g ,6.0,1.5,9.0
2023-08-01,889,Coca Cola  500 ml ,1.0,5.0,5.0
2023-08-01,7891150076068,Dove unidades ,2.0,17.5,35.0
2023-08-01,3031,Jamonada ,1.0,10.5,10.5
2023-08-01,1016,Margarina Regia 450gr ,1.0,17.5,17.5
2023-08-01,7776507001149,P.H. Nacional Classic 300mts. ,2.0,20.0,40.0
2023-08-01,7771701001346,Pipoca ,1.0,5.0,5.0
2023-08-01,7777878752000,Somo ,1.0,5.0,5.0
2023-08-01,7771609002919,Ades Manzana 250ml ,2.0,3.5,7.0
2023-08-01,77969088,Beldent negro ,1.0,2.5,2.5
2023-08-01,7772919130101,Chicotron ILVA 100g ,10.0,1.5,15.0
2023-08-01,7772905003327,Gelatina Yely ,6.0,1.5,9.0
2023-08-01,3018,Paquete Papel Higienico ,1.0,20.0,20.0
2023-08-01,7772905001750,Pilfrut Manzana 1 lt. ,1.0,3.0,3.0
2023-08-01,3015,Queso ,9.0,1.0,9.0
2023-08-01,7771609001677,Agua vital de 3l. ,1.0,8.0,8.0
2023-08-01,847,Coca Cola no retornable 2 l ,1.0,11.0,11.0
2023-08-01,7771609001172,fanta 2l. ,1.0,10.0,10.0
2023-08-01,7771609003954,Jugo Del Valle durazno 3L ,1.0,15.0,15.0
2023-08-01,858,Simba piña ,1.0,9.0,9.0
2023-08-01,7771621061215,Volt ,10.0,5.0,50.0
2023-08-01,1122,Arroz ,1.0,4.5,4.5
2023-08-01,860003913604,barbijo ,1.0,10.0,10.0
2023-08-01,7771214006777,Extracto de Tomate Kris ,2.0,3.5,7.0
2023-08-01,1530,Galletas Crackers ,1.0,7.5,7.5
2023-08-01,77852255,Huevo ,1.0,9.0,9.0
2023-08-01,8998866806329,Klin 200 g. ,1.0,4.5,4.5
2023-08-01,267,Macarrones Lazzaroni ,2.0,4.0,8.0
2023-08-01,7750243076791,Sapolio lavavajillas limonn ,1.0,9.0,9.0
2023-08-01,7779970678382,SEDAL  DE 40M0 ,2.0,3.0,6.0
2023-08-01,192,Guabira 1 kg ,2.0,6.0,12.0
2023-08-01,77852255,Huevo ,1.0,13.5,13.5
2023-08-01,81,Levadura Seca Kris ,1.0,2.0,2.0
2023-08-01,7891334140516,palitos para brochetas ,1.0,7.0,7.0
2023-08-01,1206,Pepsi 3 Litros ,3.0,11.0,33.0
2023-08-01,3015,Queso ,1.0,33.0,33.0
2023-08-01,7770109320172,Tojori 450 g. ,1.0,7.5,7.5
2023-08-01,7772905001149,Mantequilla 900 g. ,1.0,56.5,56.5
2023-08-01,3015,Queso ,34.0,1.0,34.0
2023-08-01,7613287867148,ECO ,1.0,18.0,18.0
2023-08-01,7753121003483,aji amarillo ,1.0,13.0,13.0
2023-08-01,7771430230031,Arroz Pantanal Super Grano ,2.0,7.5,15.0
2023-08-01,7770109320325,Chuño Negro ,1.0,9.0,9.0
2023-08-01,192,Guabira 1 kg ,2.0,6.0,12.0
2023-08-01,7772619000230,Harina Suprema ,2.0,7.5,15.0
2023-08-01,7613036654708,Leche Gloria 395 gr. ,1.0,12.0,12.0
2023-08-01,7891030300320,Mococa desde 1919 395 g. ,1.0,10.0,10.0
2023-08-01,78,Polvo para Hornear Kris ,1.0,2.5,2.5
2023-08-01,7771257130019,Quinua Real QRico ,1.0,10.5,10.5
2023-08-01,6901308290039,Vainilla Liquido Caramelo ,1.0,2.5,2.5
2023-08-01,77778787888,bolsa ,1.0,13.0,13.0
2023-08-01,7750243063692,Deterg. Uno de 2k. ,1.0,26.0,26.0
2023-08-01,5060135372859,Esponja ,1.0,5.5,5.5
2023-08-01,7896007921256,Fosforo Fiat lux ,1.0,3.5,3.5
2023-08-01,464,OLA antigrasa s/chisguete ,1.0,18.5,18.5
2023-08-01,7779970677156,Ola aromatic limpieza ,1.0,22.0,22.0
2023-08-01,7775000011662,OLA Bolsas de Basura  de 10un 90x110cm ,1.0,27.0,27.0
,,,,,
2023-08-01,7776501001787,Scott Jumbo Verde ,1.0,10.0,10.0
2023-08-01,7770109320332,Almidon de Yuca ,1.0,7.5,7.5
2023-08-01,7772602002777,Avena Princesa ,1.0,10.0,10.0
2023-08-01,7770109320325,Chuño Negro ,1.0,9.0,9.0
2023-08-01,7798085990790,Durazno en lata Okey ,1.0,13.5,13.5
2023-08-01,280,FINO 2lt ,1.0,24.0,24.0
2023-08-01,7790628102646,GALLETAS - CHAMPAN ,1.0,12.0,12.0
2023-08-01,192,Guabira 1 kg ,2.0,6.0,12.0
2023-08-01,7772619000230,Harina Suprema ,2.0,7.5,15.0
2023-08-01,7772314630442,Lawa de choclo 1 ,1.0,7.0,7.0
2023-08-01,7802575015174,Lazaña Precocida ,1.0,16.5,16.5
2023-08-01,7613036654708,Leche Gloria 395 gr. ,1.0,12.0,12.0
2023-08-01,1121,Mani Pelado ,1.0,6.0,6.0
2023-08-01,282,Manteca Karina ,1.0,11.5,11.5
2023-08-01,7501001600426,Nestle Crema Media 225g. ,1.0,12.5,12.5
2023-08-01,7777014526,Pan Molido Pandore ,1.0,5.5,5.5
2023-08-01,78,Polvo para Hornear Kris ,1.0,3.0,3.0
2023-08-01,3015,Queso ,22.0,1.0,22.0
2023-08-01,7750243063708,Detergente en polvo Uno 2 kg. ,1.0,26.0,26.0
2023-08-01,5060135372859,Esponja ,1.0,5.5,5.5
2023-08-01,7779970677163,OLA  AROMATIC DE FLORES ,1.0,22.0,22.0
2023-08-01,3027,Paquete de Bolsas Plasticas ,1.0,13.0,13.0
2023-08-01,7776501001787,Scott Jumbo Verde ,1.0,10.0,10.0
2023-08-01,7770108970026,Arroz Platinium ,2.0,7.0,14.0
2023-08-01,280,FINO 2lt ,1.0,24.0,24.0
2023-08-01,192,Guabira 1 kg ,2.0,6.0,12.0
2023-08-01,7772619000230,Harina Suprema ,2.0,7.5,15.0
2023-08-01,36,Maicena Kris 400gr ,1.0,8.5,8.5
2023-08-01,7777411112,Maiz pelado ,1.0,16.5,16.5
2023-08-01,7750243063708,Detergente en polvo Uno 2 kg. ,1.0,26.0,26.0
2023-08-01,5060135372859,Esponja ,1.0,5.5,5.5
2023-08-01,464,OLA antigrasa s/chisguete ,1.0,18.5,18.5
2023-08-01,460,OLA antisarro limon ,1.0,18.0,18.0
2023-08-01,3027,Paquete de Bolsas Plasticas ,1.0,13.0,13.0
2023-08-01,7776501001787,Scott Jumbo Verde ,1.0,10.0,10.0
2023-08-01,862,Agua Vital 2 l ,6.0,6.0,36.0
2023-08-01,7771609000960,Coca cola 3 l. ,4.0,14.0,56.0
2023-08-01,3050,Jugo del Valle ,1.0,9.5,9.5
2023-08-02,7771260680211,leche delicia ,4.0,6.5,26.0
2023-08-02,3001,Pan ,1.0,3.0,3.0
2023-08-02,3022,Paquete de Pañales ,2.0,59.0,118.0
2023-08-02,7772905004607,Crema de Leche PIL 500ml. ,1.0,17.0,17.0
2023-08-02,7798085990790,Durazno en lata Okey ,1.0,13.5,13.5
2023-08-02,1020,Frutillas en Lata Aconcagua ,1.0,20.0,20.0
2023-08-02,3001,Pan ,5.0,0.5,2.5
2023-08-02,7771260680211,leche delicia ,4.0,6.5,26.0
2023-08-02,3001,Pan ,1.0,3.0,3.0
2023-08-02,3022,Paquete de Pañales ,2.0,59.0,118.0
2023-08-02,7771609003251,Agua Vital 990 ml. ,1.0,6.0,6.0
2023-08-02,70000125421,Almidon de yuca ,1.0,9.5,9.5
2023-08-02,6950192031662,Bombril ,1.0,6.0,6.0
2023-08-02,700002521041,Condimentos ,1.0,14.0,14.0
2023-08-02,3086126612027,Encendedor BX7 ,1.0,2.0,2.0
2023-08-02,3086123206878,Encendedores ,2.0,7.0,14.0
2023-08-02,263,Fideos Lazzaroni Tagliatella ,1.0,4.0,4.0
2023-08-02,7771214002564,Ketchup Kris 200g ,1.0,7.0,7.0
2023-08-02,7751493009720,Kotex nocturana ,2.0,10.0,20.0
2023-08-02,1040,Mayonesa KRIS 230gr ,1.0,9.0,9.0
2023-08-02,7776507001521,papel nacional triple hoja ,2.0,25.0,50.0
2023-08-02,7790740000363,Plusbella acondicionador proteccion ,2.0,12.5,25.0
2023-08-02,7791293045788,Sedal ,2.0,17.0,34.0
2023-08-02,7774904400558,Todo Brillo Coco ,1.0,10.0,10.0
2023-08-02,7772905007387,Chicolac 140ml ,6.0,1.0,6.0
2023-08-02,7771224005777,helado granizado ,2.0,15.5,31.0
2023-08-02,700025310025,Quesillo ,1.0,5.0,5.0
2023-08-02,865,Coca Cola 2.5 lts. ,6.0,14.0,84.0
2023-08-02,3024,Paquete de Cubiertos desechables ,1.0,8.5,8.5
2023-08-02,7750078001531,platos fiesta ,2.0,5.0,10.0
2023-08-02,975,Sidra Del Valle ,3.0,18.0,54.0
2023-08-02,bizcochos,bizcochos 2 ,20.0,2.0,40.0
2023-08-02,7772905007387,Chicolac 140ml ,20.0,1.0,20.0
2023-08-02,3027,Paquete de Bolsas Plasticas ,2.0,13.0,26.0
2023-08-02,3001,Pan ,10.0,0.5,5.0
2023-08-02,3002,Azucar ,1.0,5.0,5.0
2023-08-02,7841503001469,Cracker Salvado ,1.0,5.5,5.5
2023-08-02,3012,Comida para Mascota ,1.0,21.5,21.5
2023-08-02,1589,Galletas de leche ,1.0,4.5,4.5
2023-08-02,7779970434056,hojas ,1.0,2.0,2.0
2023-08-02,3001,Pan ,16.0,0.5,8.0
2023-08-02,7776570150478,Ppapel higenico perlita  6 rollos ,1.0,10.0,10.0
